dQP,PRED_MODE,PU_SIZE,BITS,DISTORTION,BEST_COST,BEST_BINS,SIDE_INFO,SAD,MSE,COST_2Nx2N,COST_MSM,COST_2NxN,COST_Nx2N,RATIO_2Nx2N-MSM,REL_RATIO_2Nx2N-MSM,RATIO_BEST_2Nx2N,RATIO_BEST-MSM,REL_RATIO_BEST-MSM,TU_DEPTH,CBF,NON-Z-COEFF,REF_IDX,MV_MOD_INT,MV_MOD_FRAC,PREDMV_MOD_INT,PREDMV_MOD_FRAC,MVD_MOD_INT,MVD_MOD_FRAC,MVP_IDX,INTER_DIR,FME,COLOC_SPLIT,UP_SPLIT,LEFT_SPLIT,UPLEFT_SPLIT,UPRIGHT_SPLIT,CTX_SPLIT,COLOC_DEPTH,UP_DEPTH,LEFT_DEPTH,UPLEFT_DEPTH,UPRIGHT_DEPTH,CTX_DEPTH,AVG_NEIGH_DEPTH,SPLIT
3,2,0,78,39298,44593.5,1,0.118751,9540,9.12744,44525.6,69209.2,46604.6,45539.9,0.643349,0.356651,1.00152,0.64433,0.35567,1,1,2,-1,0,0,0,0,0,0,-1,2,0,1,1,1,1,1,5,1,2,1,2,2,1.33333,1.28411,0
4,0,0,2,28719,29066.3,1,0.011947,7743,6.00366,32904.9,29066.3,30455.3,30455.3,1.13207,0.132066,0.88334,1,0,0,0,1,0,16.0312,0.559017,16.0312,0.559017,0,0,-1,3,2,2,0,0,0,0,2,1,0,0,0,0,0.166667,0.333333,0
4,0,0,1,36657,36830.6,1,0.004714,8804,8.07861,40345.7,36830.6,39461.4,39056.8,1.09544,0.095438,0.912877,1,0,0,0,4,0,17.0294,0.25,17.0294,0.25,0,0,-1,3,2,2,0,0,0,0,2,1,0,0,0,0,0.166667,0.333333,0
4,0,0,3,29620,30140.9,1,0.017282,7724,5.94385,33388.6,30140.9,32243.4,32499.4,1.10775,0.10775,0.902731,1,0,0,0,1,0,18.0278,0.25,18.0278,0.25,0,0,-1,3,2,1,0,0,0,0,1,0.5,0,0,0,0,0.083333,0.166667,0
4,0,0,1,31245,31418.6,1,0.005526,7838,6.29004,36620.1,31418.6,33155,33599,1.16555,0.165554,0.857961,1,0,0,0,1,0,19,0,19,0,0,0,-1,3,0,1,0,0,0,0,1,0.5,0,0,0,0,0.083333,0.166667,0
4,0,0,0,23957,23957,1,0,7099,5.04321,29851.5,23957,25519.7,25519.7,1.24604,0.246044,0.80254,1,0,0,0,10,0,17.0294,0.707107,17.0294,0.707107,0,0,-1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,5,26560,26649.1,1,0.003344,7741,5.89087,26717.9,26649.1,26802.8,26800.8,1.00258,0.002583,0.997423,1,0,0,0,2,0,124.145,0,124.145,0,0,0,-1,3,0,1,1,0,0,1,3,1,1,0,0,1,0.6,0.875692,0
4,0,0,1,38428,38601.6,1,0.004498,8842,7.88184,41965.6,38601.6,40687.9,40480.9,1.08715,0.087145,0.91984,1,0,0,0,1,0,17.0294,0.559017,17.0294,0.559017,0,0,-1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,36,25005,26837.1,1,0.068267,7981,6.32153,31170.1,26786.2,29452.8,27570.5,1.16366,0.163663,0.860988,1.0019,0.0019,1,1,2,0,80.2247,0.790569,80.2247,0.790569,0,0,-1,3,2,1,0,0,0,0,1,0.5,0,0,0,0,0.083333,0.166667,0
2,3,0,73,24467,28182.1,91,0.131825,7733,5.95386,28774.9,28817,32738.4,32350.5,0.998539,0.001461,0.979398,0.977966,0.022034,1,1,1,-1,0,0,0,0,0,0,-1,0,0,2,1,1,1,1,6,1.5,1,1,2,1,1.08333,1.47556,0
3,2,2,448,56425,86840.3,1,0.350244,12146,14.9995,105921,105631,107421,86772.4,1.00275,0.002753,0.819856,0.822113,0.177887,1,1,1,0,26.2488,0.790569,26.2488,0.5,1,0.353553,0,3,2,2,1,1,1,1,6,2,1,1,1,1,1,1.56128,0
4,1,5,8,34261,35650.1,1,0.038964,8451,7.0061,43628.2,42412.7,38497.6,44064.6,1.02866,0.028657,0.817134,0.840551,0.159449,0,0,1,0,26.1725,0.790569,26.1725,0.790569,0,0,-1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,23224,23274.9,1,0.002187,7091,5.09595,24193.7,23274.9,24271.2,24107.5,1.03948,0.039477,0.962022,1,0,0,0,1,0,63.0079,0.559017,63.0079,0.559017,0,0,-1,3,2,1,0,0,0,0,1,0.5,0,0,0,0,0.083333,0.333333,0
3,0,0,1,21750,21817.9,1,0.003112,6775,4.58472,22960.8,21817.9,23116.3,22794,1.05238,0.052385,0.950222,1,0,0,0,1,0,32.0156,0.901388,32.0156,0.901388,0,0,-1,3,2,1,0,0,0,0,1,0.5,0,0,0,0,0.083333,0.333333,0
1,1,6,48,28068,28923.4,1,0.029574,7869,6.12231,28945.9,29913.3,29529.9,28891.5,0.967662,0.032338,0.999221,0.966907,0.033093,0,0,1,0,124.145,0.75,126.143,0.25,2,0.5,1,1,2,1,1,1,1,1,5,2,1,2,2,1,1.6,1.92772,0
4,0,0,1,60328,60501.6,1,0.00287,10921,12.6165,69351.7,60501.6,62045.7,62159.4,1.14628,0.146279,0.872388,1,0,0,0,2,0,16.0312,1.06066,16.0312,1.06066,0,0,-1,1,2,1,0,0,0,0,1,0.5,0,0,0,0,0.083333,0.166667,0
3,0,0,2,29294,29429.8,1,0.004614,7769,6.10571,37999.5,29429.8,30108.7,30297.4,1.29119,0.291191,0.774479,1,0,0,0,1,0,39.1152,0,39.1152,0,0,0,-1,3,0,1,0,0,0,0,1,0.5,0,0,0,0,0.083333,0.333333,0
3,2,7,105,51967,59095.6,1,0.120628,11459,12.989,62777.9,73860,63577.3,59317.5,0.849958,0.150042,0.941343,0.800102,0.199898,1,1,1,0,32.1403,0.559017,32.1403,0.559017,0,0,-1,3,2,1,0,0,0,0,1,0.5,0,0,0,0,0.083333,0.282051,0
